"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000050820",1500.20250750623,0.303507293171334,0.0650403086568109,4.66644915190683,3.06449436738241e-06,0.00655190104060992
"ENSG00000101417",259.676420111206,5.40271039391661,1.15456674247993,4.67942665861997,2.87678240219527e-06,0.00655190104060992
"ENSG00000105409",652.625554178527,6.46094323649891,1.37769008236461,4.68969278301665,2.73615541927241e-06,0.00655190104060992
"ENSG00000138944",806.334628521757,6.02125154832019,1.30386578621677,4.61799949961962,3.87457187499108e-06,0.00655190104060992
"ENSG00000142627",810.091868235912,0.51370211836371,0.109220970934032,4.70332861876844,2.55953952901666e-06,0.00655190104060992
"ENSG00000145920",289.568749634898,6.11376556124907,1.31437726443192,4.65145413473923,3.29602586739814e-06,0.00655190104060992
"ENSG00000169359",483.878646825855,-0.335178820500781,0.0721493402811555,-4.64562557598777,3.39047455899807e-06,0.00655190104060992
"ENSG00000172757",1419.03914445879,0.251997080809629,0.0519984358328462,4.84624348354819,1.25821086369645e-06,0.00655190104060992
"ENSG00000054356",427.300887671683,5.46980857462733,1.19818487691923,4.56507896234787,4.99306364653792e-06,0.00750512944559611
"ENSG00000150526",201.959223591921,6.16679918091287,1.38200950374939,4.46219737576502,8.11234501357508e-06,0.0109743803343644
"ENSG00000124783",1251.75851305699,-0.239076847403034,0.0538795180330052,-4.43724918356883,9.11157945695931e-06,0.0112055860812496
"ENSG00000089199",1858.61851500747,4.74320854201736,1.08480764315643,4.37239594682076,1.22890391730467e-05,0.0121914405511291
"ENSG00000119125",870.128715767711,6.80020550126794,1.55730578973645,4.36664754352372,1.26168071936581e-05,0.0121914405511291
"ENSG00000158955",516.611035872195,5.25444706601135,1.19804387120778,4.38585530320706,1.15530905677567e-05,0.0121914405511291
"ENSG00000124140",57.4610794090502,5.89832510905592,1.36981569253184,4.30592607546641,1.66288586429623e-05,0.0149970133147996
"ENSG00000130477",515.286255795199,4.39811230146998,1.03502412057495,4.24928483698222,2.14454085832951e-05,0.0161174159619342
"ENSG00000130957",208.249774864795,5.72861083521541,1.34672751815577,4.25372672495788,2.10241857260108e-05,0.0161174159619342
"ENSG00000227105",253.070747763055,0.560887716407577,0.131810624265059,4.25525422958081,2.08811618336458e-05,0.0161174159619342
"ENSG00000148798",189.809947197216,5.01150082879173,1.18498924007557,4.22915302460648,2.34572756739101e-05,0.016701580279824
"ENSG00000100285",355.708055391205,5.58704296942091,1.34536927680651,4.15279512156159,3.28438770280044e-05,0.0169751234113699
"ENSG00000106809",253.17138416096,5.86177752038998,1.39568359689229,4.19993294572075,2.66994039148639e-05,0.0169751234113699
"ENSG00000117152",592.234472405023,4.41825623594396,1.06425631032385,4.15149639526169,3.30308468383828e-05,0.0169751234113699
"ENSG00000142549",68.115998786226,5.97742375554995,1.44184234687276,4.14568469882613,3.38799772403155e-05,0.0169751234113699
"ENSG00000163492",230.892796536903,5.89518983185871,1.4177613776536,4.15809735317749,3.20909266421505e-05,0.0169751234113699
"ENSG00000166343",828.900242197453,4.28455547085893,1.02354818444918,4.18598316713802,2.8393439100447e-05,0.0169751234113699
"ENSG00000167619",181.375869475357,4.58251000187206,1.10183739803977,4.15897119667984,3.19684203874582e-05,0.0169751234113699
"ENSG00000250533",121.397230504445,5.16012208564291,1.23374613758051,4.18248286941947,2.88342749946864e-05,0.0169751234113699
"ENSG00000048471",981.246335580422,-0.271563830812468,0.0664152235342267,-4.08887927136945,4.33462366806621e-05,0.0202202720626206
"ENSG00000237945",199.928876161925,4.52451069418897,1.10475920328579,4.0954722809569,4.21308636057209e-05,0.0202202720626206
"ENSG00000104112",275.700472862229,5.58634933724993,1.37216316890622,4.07119901177856,4.67717685474526e-05,0.0203669232633327
"ENSG00000147003",290.426068837263,4.08274872936983,1.00453969301166,4.06429806385204,4.81772282988354e-05,0.0203669232633327
"ENSG00000188293",34.1030720003796,4.64818533168657,1.14016141661557,4.07677830871013,4.5663991746312e-05,0.0203669232633327
"ENSG00000250120",141.898399210092,4.6593150164503,1.15181986525337,4.04517681714526,5.22836474479247e-05,0.0214331267477432
"ENSG00000151892",1183.23044788544,4.42232432999606,1.10078238552255,4.01743740466627,5.88344565319617e-05,0.0234091919989523
"ENSG00000196497",465.332221325068,0.296039969717676,0.0739844212457794,4.00138251719533,6.29734599110292e-05,0.0243401418764687
"ENSG00000157064",748.817780333446,3.96714485436867,0.994381236395644,3.98956125595096,6.61956232056967e-05,0.0248748441868518
"ENSG00000196154",118.994459824004,1.75200927198029,0.441519326932036,3.96813721418357,7.24366246999158e-05,0.02578743839317
"ENSG00000197635",1353.35945460832,3.89142420259532,0.979736195891106,3.97191021309152,7.1298594708411e-05,0.02578743839317
"ENSG00000205056",42.321398124235,3.04308692514742,0.768655221010039,3.95897515813228,7.52720648130743e-05,0.0261097562254172
"ENSG00000077063",278.742013603537,-0.612643698766022,0.15615425257588,-3.92332382026112,8.73356378554011e-05,0.0268517388388151
"ENSG00000125753",826.818884874057,0.373931721316913,0.0948877637582659,3.94077915324819,8.12173745985209e-05,0.0268517388388151
"ENSG00000150672",439.775907496618,3.81067950991103,0.971135518782709,3.92394206185313,8.71116939195456e-05,0.0268517388388151
"ENSG00000169228",124.646212179479,0.544361345933186,0.138325309580493,3.93537052318265,8.30684388279573e-05,0.0268517388388151
"ENSG00000196090",353.739853607074,6.05711675163009,1.54348213517355,3.92431931254522,8.69753100992504e-05,0.0268517388388151
"ENSG00000160716",171.414238773843,5.38159991410722,1.37440061176141,3.91559772896946,9.01805049351665e-05,0.0271102637947318
"ENSG00000069535",178.945930308247,4.02295411975112,1.03542489030422,3.88531718468649,0.000102196372615686,0.0273236867024537
"ENSG00000138083",191.558051863757,5.50280411836129,1.41030686774395,3.90184877080268,9.54607933089543e-05,0.0273236867024537
"ENSG00000162692",146.37766689737,3.97935295209388,1.01821159659388,3.90817877679413,9.29944845295702e-05,0.0273236867024537
"ENSG00000163017",42.5145129641222,5.28834781131041,1.36076023009869,3.88631861391693,0.000101775909133742,0.0273236867024537
"ENSG00000176406",122.23367066121,5.14740724936398,1.3206464140572,3.89764224138578,9.71337705809347e-05,0.0273236867024537
"ENSG00000185275",303.369005085283,4.2466000570838,1.09352847303093,3.88339230464985,0.000103009167787192,0.0273236867024537
"ENSG00000171450",68.1112731057008,5.89692228650263,1.52039388072453,3.87854907946125,0.000105081328268483,0.0273373117080008
"ENSG00000003137",726.902246638735,2.82086368932517,0.730600470323285,3.86102090527941,0.000112914240846507,0.0282274923534513
"ENSG00000126803",1507.73067933609,3.63040405183402,0.94123809545016,3.85705175914892,0.000114762868083961,0.0282274923534513
"ENSG00000157551",244.454009690811,2.82084190399604,0.729937376594729,3.8644985096608,0.000111317669657419,0.0282274923534513
"ENSG00000099194",4929.51885110851,-0.563270650425236,0.146516433834164,-3.84441960321516,0.000120838091973206,0.0288145881484146
"ENSG00000230657",69.4653153697106,7.63914720129246,1.98767281182745,3.84326190700827,0.000121409781524219,0.0288145881484146
"ENSG00000102003",421.802789091647,3.79763226936132,0.992469679491764,3.82644663896035,0.000130006314969466,0.0293120904817822
"ENSG00000126259",90.0540188039189,4.85401729054273,1.2667249231075,3.83194267515868,0.000127135366642949,0.0293120904817822
"ENSG00000232310",101.054297421924,4.04839726505022,1.05785169465856,3.82699889359908,0.000129715097654091,0.0293120904817822
"ENSG00000148795",97.8894878377083,2.2444953914154,0.588976611952341,3.81083959170354,0.000138495616314628,0.0307142409426932
"ENSG00000111846",80.470040569244,3.21914673304834,0.846422617184129,3.80323808425367,0.000142816978324938,0.0311617432706413
"ENSG00000157766",59.1630733250758,2.6057854881498,0.68883183583004,3.78290513389213,0.000155008504682503,0.0332850008149984
"ENSG00000124194",56.7481557960612,4.4220143506133,1.17018023848551,3.77891730280494,0.000157511718445228,0.03329403948636
"ENSG00000164946",93.1460134021042,4.85663843954114,1.28855526960116,3.76905714028424,0.000163865374788344,0.0339827767267985
"ENSG00000215105",601.347506899836,-0.238823700483353,0.0634134726238862,-3.76613502780156,0.000165794150204664,0.0339827767267985
"ENSG00000108309",235.716929014348,3.47993362299169,0.924942310921164,3.76232504654909,0.000168341063806121,0.0339898195696896
"ENSG00000198040",325.708264832809,-0.4186473185151,0.111754678263006,-3.74612790285025,0.000179585053710753,0.035726861861751
"ENSG00000160336",189.329430570381,-0.456241110942142,0.121975238128066,-3.74044042007215,0.000183698088155109,0.0360154744429321
"ENSG00000120129",1054.10946812106,0.441097333727308,0.11827944286369,3.72928146301507,0.000192026564132401,0.0371105051369018
"ENSG00000176153",86.2624142531358,4.25858103850258,1.14697447452337,3.71288213739218,0.000204912329029899,0.0385007498210622
"ENSG00000188931",150.516524419163,-0.427736679693258,0.115201440562423,-3.7129455812793,0.000204860948715385,0.0385007498210622
"ENSG00000197496",431.387930820316,-0.307752838382484,0.0832546055665729,-3.69652629170642,0.000218569632967981,0.0405042465039841
"ENSG00000078053",54.8758484563171,2.95380247851701,0.804138061421506,3.67325291542034,0.000239482239168647,0.0425680477020434
"ENSG00000092140",209.15372386714,-0.343880268841818,0.0934388765530635,-3.68026972848426,0.000232987374368108,0.0425680477020434
"ENSG00000163531",253.582154892823,3.59625015152773,0.978588756404668,3.67493508176034,0.000237909899891934,0.0425680477020434
"ENSG00000169239",990.997783539524,2.96312830653178,0.807332188416733,3.67027148061915,0.000242292997712695,0.0425680477020434
"ENSG00000251022",82.7137860446488,-0.615142946453556,0.168687252748145,-3.64664748777421,0.000265684009286475,0.046079144584967
"ENSG00000223496",153.262652853201,0.447565654665791,0.123402922163298,3.62686431423019,0.000286883948201117,0.0488119349533871
