"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000054356",427.300887671683,5.62433680611065,1.20073649012567,4.68407252745521,2.81230422719169e-06,0.0149567168354132
"ENSG00000101417",259.676420111206,5.51048722203469,1.15532215987504,4.76965422582276,1.84542410222993e-06,0.0149567168354132
"ENSG00000135346",8.9287025547087,-3.38348157912703,0.726384367908181,-4.65797686267765,3.19332091495345e-06,0.0149567168354132
"ENSG00000158955",516.611035872195,5.57141469873319,1.19329712621124,4.66892492771069,3.02779985687254e-06,0.0149567168354132
"ENSG00000100285",355.708055391205,6.23276658406865,1.35872950726637,4.58720190496809,4.49226186491514e-06,0.0150907417072999
"ENSG00000130957",208.249774864795,6.1320207454214,1.35115738842516,4.53834675216376,5.66969762527241e-06,0.0150907417072999
"ENSG00000145920",289.568749634898,5.91413750253857,1.3109676950862,4.51127630734617,6.44387155902851e-06,0.0150907417072999
"ENSG00000250533",121.397230504445,5.64526633019754,1.24226345388914,4.54433905507239,5.5107894250647e-06,0.0150907417072999
"ENSG00000105409",652.625554178527,6.13319402516966,1.37309105293013,4.46670598579872,7.94331779743313e-06,0.0165353398816566
"ENSG00000148795",97.8894878377083,2.64286633238879,0.596908421549841,4.42759096198831,9.52913908515642e-06,0.0178528420760406
"ENSG00000089199",1858.61851500747,4.74178644687606,1.08445436218563,4.37250898905451,1.22826758219367e-05,0.018072769557998
"ENSG00000213763",122.656736846865,0.609445004314533,0.139429817023836,4.37098044968635,1.23689868727456e-05,0.018072769557998
"ENSG00000227105",253.070747763055,0.57333436473879,0.131258671809695,4.36797323052331,1.25404859489711e-05,0.018072769557998
"ENSG00000117152",592.234472405023,4.50046848293669,1.06460181440445,4.22737254628322,2.36436021517899e-05,0.0249124975401956
"ENSG00000126803",1507.73067933609,3.98199967878541,0.942207372679756,4.2262455105399,2.37622730103656e-05,0.0249124975401956
"ENSG00000150526",201.959223591921,5.71221877266956,1.35215103010835,4.22454196718827,2.39427233341545e-05,0.0249124975401956
"ENSG00000151892",1183.23044788544,4.71402739027344,1.10589097327555,4.26265111497467,2.02015795210361e-05,0.0249124975401956
"ENSG00000167619",181.375869475357,4.7085128898653,1.10383602749199,4.26559087817004,1.9937383722789e-05,0.0249124975401956
"ENSG00000188624",14.3581303914331,5.69604615775475,1.35220268082617,4.2124204000798,2.52648760749248e-05,0.0249124975401956
"ENSG00000102003",421.802789091647,4.06164786162069,0.993889012217276,4.08662115356274,4.37700967097615e-05,0.0323733540330037
"ENSG00000104112",275.700472862229,5.51068364281122,1.37072396188811,4.02027234952578,5.81308991043475e-05,0.0323733540330037
"ENSG00000106809",253.17138416096,5.62424442914137,1.37305555286697,4.0961521312068,4.20073936355994e-05,0.0323733540330037
"ENSG00000119125",870.128715767711,6.28363157325022,1.53074440170579,4.10495152962706,4.0439966281023e-05,0.0323733540330037
"ENSG00000124194",56.7481557960612,4.7721493031893,1.18464598248412,4.02833367415168,5.61735802748613e-05,0.0323733540330037
"ENSG00000130477",515.286255795199,4.16509969615464,1.03232597303064,4.03467490401989,5.46779483633981e-05,0.0323733540330037
"ENSG00000138944",806.334628521757,5.26194390848387,1.27949897276463,4.11250342555126,3.9139166137146e-05,0.0323733540330037
"ENSG00000142549",68.115998786226,5.77531716599673,1.4374422760823,4.01777327833794,5.87506825258675e-05,0.0323733540330037
"ENSG00000160716",171.414238773843,5.54884112145068,1.37829944216891,4.0258603839518,5.67673651984175e-05,0.0323733540330037
"ENSG00000163492",230.892796536903,5.83033829551274,1.40974559732776,4.13573789949365,3.53815848543586e-05,0.0323733540330037
"ENSG00000166343",828.900242197453,4.14865604067022,1.01991777116193,4.06763776254621,4.74921319527521e-05,0.0323733540330037
"ENSG00000197635",1353.35945460832,3.98521143199125,0.978851049451324,4.07131548178355,4.674838506436e-05,0.0323733540330037
"ENSG00000198502",35.3421162989496,-1.79426823578382,0.44518805201097,-4.03036026613672,5.56914285401571e-05,0.0323733540330037
"ENSG00000230657",69.4653153697106,8.03715724971046,1.99951398717984,4.01955540258373,5.83080695614275e-05,0.0323733540330037
"ENSG00000237945",199.928876161925,4.54025298421333,1.10646039307874,4.10340307941797,4.07117046379724e-05,0.0323733540330037
"ENSG00000069535",178.945930308247,4.11141553331219,1.03472939347192,3.97342103090046,7.08476541015888e-05,0.0349444273698747
"ENSG00000129993",9.85386361380318,-2.6898236042046,0.674694665107163,-3.98672724613492,6.69909630613909e-05,0.0349444273698747
"ENSG00000164946",93.1460134021042,5.11496338382973,1.2848741727022,3.98090606263221,6.86530781595273e-05,0.0349444273698747
"ENSG00000231824",76.5463126045619,5.68081850554039,1.42974061590871,3.97332106420561,7.08774080627296e-05,0.0349444273698747
"ENSG00000250120",141.898399210092,4.55511455339772,1.15216668611162,3.95352044830468,7.70096792767142e-05,0.0369942651602369
"ENSG00000150672",439.775907496618,3.82866248924423,0.970676726360703,3.9443229504418,8.00257519550617e-05,0.037482061571952
"ENSG00000196090",353.739853607074,6.06742044452009,1.54344065921859,3.9311005630705,8.45578911543348e-05,0.0386388314823527
"ENSG00000172757",1419.03914445879,0.200832549632988,0.0515543499422201,3.89555003327697,9.79761336191951e-05,0.0426879735664097
